ISO3_code,Name of Indicator,Year,IndicatorType,Sub indicator,Ranking,Score,Sub-componentValue,Organization
ALB,World Governance Indicator,2018,Sub_components,Regulatory Quality,,,0.256079823,World Bank
ALB,World Governance Indicator,2018,Sub_components,Rule of Law,,,-0.414752036,World Bank
ALB,World Governance Indicator,2018,Sub_components,Voice and Accountability,,,0.188786596,World Bank
ALB,World Governance Indicator,2019,Sub_components,Control of Corruption,,,-0.564274073,World Bank
ALB,World Governance Indicator,2019,Sub_components,Government Effectiveness,,,-0.062300701,World Bank
ALB,World Governance Indicator,2019,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.110105053,World Bank
ALB,World Governance Indicator,2019,Sub_components,Regulatory Quality,,,0.272065461,World Bank
ALB,World Governance Indicator,2019,Sub_components,Rule of Law,,,-0.426317364,World Bank
ALB,World Governance Indicator,2019,Sub_components,Voice and Accountability,,,0.141965285,World Bank
ALB,World Governance Indicator,2020,Sub_components,Control of Corruption,,,-0.57353878,World Bank
ALB,World Governance Indicator,2020,Sub_components,Government Effectiveness,,,-0.155121222,World Bank
ALB,World Governance Indicator,2020,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.088612519,World Bank
ALB,World Governance Indicator,2020,Sub_components,Regulatory Quality,,,0.221967235,World Bank
ALB,World Governance Indicator,2020,Sub_components,Rule of Law,,,-0.378028214,World Bank
ALB,World Governance Indicator,2020,Sub_components,Voice and Accountability,,,0.086325444,World Bank
ALB,World Governance Indicator,2021,Sub_components,Control of Corruption,,,-0.577179968,World Bank
ALB,World Governance Indicator,2021,Sub_components,Government Effectiveness,,,-0.035985023,World Bank
ALB,World Governance Indicator,2021,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.196371928,World Bank
ALB,World Governance Indicator,2021,Sub_components,Regulatory Quality,,,0.175859392,World Bank
ALB,World Governance Indicator,2021,Sub_components,Rule of Law,,,-0.28071627,World Bank
ALB,World Governance Indicator,2021,Sub_components,Voice and Accountability,,,0.085588962,World Bank
ALB,World Governance Indicator,2022,Sub_components,Control of Corruption,,,-0.408189446,World Bank
ALB,World Governance Indicator,2022,Sub_components,Government Effectiveness,,,0.064540535,World Bank
ALB,World Governance Indicator,2022,Sub_components,Political Stability and Absence of Violence/Terrorism,,,0.106261313,World Bank
ALB,World Governance Indicator,2022,Sub_components,Regulatory Quality,,,0.159353822,World Bank
ALB,World Governance Indicator,2022,Sub_components,Rule of Law,,,-0.165585101,World Bank
ALB,World Governance Indicator,2022,Sub_components,Voice and Accountability,,,0.141740188,World Bank
ALB,World Governance Indicator,2023,Sub_components,Control of Corruption,,,-0.332218528,World Bank
